region,zona_venta
AGRONEGOCIOS,AGAVE- BERRIES
AGRONEGOCIOS,AGUACATE
AGRONEGOCIOS,GRANOS ALMACENADOS
BAJIO,GUANAJUATO CENTRO
BAJIO,GUANAJUATO NORTE
BAJIO,MICHOACAN 1
BAJIO,MICHOACAN 2
CENTRO,ESTADO DE MEXICO
CENTRO,HIDALGO
CENTRO,MORELOS
CENTRO,OAXACA
CENTRO,PUEBLA
GOLFO NORTE,HUASTECA
GOLFO NORTE,POZARICA
GOLFO NORTE,TAMAULIPAS
GOLFO NORTE,TUXTEPEC NORTE
GOLFO NORTE,TUXTEPEC SUR
OCCIDENTE,CIENEGA - ALTOS
OCCIDENTE,COLIMA
OCCIDENTE,GUADALAJARA
OCCIDENTE,JALISCO COSTA
OCCIDENTE,ZACATECAS AGUASCALIENTES
OCCIDENTE NORTE,CASAS GRANDES
OCCIDENTE NORTE,CHIHUAHUA NORTE
OCCIDENTE NORTE,CHIHUAHUA SUR
OCCIDENTE NORTE,LA LAGUNA
PACIFICO,BAJA CALIFORNIA
PACIFICO,SINALOA NORTE
PACIFICO,SINALOA SUR
PACIFICO,SONORA
SUR,ACAYUCAN
SUR,CHIAPAS
SUR,COSTA DE CHIAPAS
SUR,MERIDA
SUR,TABASCO
